iter	Passed	Remaining
630	1038	607
631	1039	605
632	1041	603
633	1043	602
634	1044	600
635	1046	598
636	1047	597
637	1049	595
638	1050	593
639	1051	591
640	1053	589
641	1054	588
642	1055	586
643	1057	584
644	1059	582
645	1061	581
646	1062	579
647	1064	578
648	1065	576
649	1066	574
650	1067	572
651	1069	570
652	1070	568
653	1071	566
654	1072	565
655	1074	563
656	1075	561
657	1077	560
658	1078	558
659	1079	556
660	1081	554
661	1082	552
662	1083	550
663	1084	548
664	1086	547
665	1087	545
666	1089	543
667	1090	542
668	1091	540
669	1093	538
670	1094	536
671	1095	534
672	1096	532
673	1098	531
674	1099	529
675	1100	527
676	1102	525
677	1103	524
678	1105	522
679	1106	520
680	1107	518
681	1108	516
682	1110	515
683	1112	513
684	1113	512
685	1115	510
686	1116	508
687	1118	507
688	1119	505
689	1121	503
690	1122	502
691	1123	500
692	1125	498
693	1126	496
694	1127	494
695	1129	493
696	1130	491
697	1131	489
698	1133	488
699	1135	486
700	1136	484
701	1138	483
702	1139	481
703	1140	479
704	1141	477
705	1142	475
706	1144	474
707	1145	472
708	1147	470
709	1148	469
710	1150	467
711	1151	465
712	1153	464
713	1154	462
714	1155	460
715	1157	458
716	1158	457
717	1159	455
718	1160	453
719	1162	452
720	1164	450
721	1165	448
722	1167	447
723	1168	445
724	1169	443
725	1170	441
726	1172	440
727	1173	438
728	1174	436
729	1176	435
730	1178	433
731	1179	431
732	1181	430
733	1182	428
734	1183	426
735	1184	424
736	1185	423
737	1186	421
738	1188	419
739	1189	417
740	1191	416
741	1193	414
742	1194	413
743	1195	411
744	1197	409
745	1198	408
746	1199	406
747	1200	404
748	1202	402
749	1203	401
750	1204	399
751	1206	397
752	1208	396
753	1209	394
754	1211	392
755	1212	391
756	1213	389
757	1215	387
758	1216	386
759	1217	384
760	1218	382
761	1220	381
762	1221	379
763	1223	377
764	1224	376
765	1225	374
766	1226	372
767	1228	371
768	1229	369
769	1231	367
770	1232	366
771	1233	364
772	1235	362
773	1236	361
774	1238	359
775	1239	357
776	1240	356
777	1242	354
778	1243	352
779	1244	351
780	1246	349
781	1247	347
782	1248	345
783	1249	344
784	1251	342
785	1252	340
786	1253	339
787	1254	337
788	1256	335
789	1257	334
790	1258	332
791	1259	330
792	1261	329
793	1262	327
794	1263	325
795	1265	324
796	1266	322
797	1267	320
798	1268	319
799	1270	317
800	1271	315
801	1272	314
802	1273	312
803	1275	310
804	1276	309
805	1277	307
806	1279	305
807	1280	304
808	1281	302
809	1282	300
810	1284	299
811	1285	297
812	1286	295
813	1288	294
814	1289	292
815	1290	291
816	1292	289
817	1294	288
818	1296	286
819	1297	284
820	1299	283
821	1300	281
822	1301	279
823	1302	278
824	1303	276
825	1305	274
826	1306	273
827	1308	271
828	1309	270
829	1310	268
830	1312	266
831	1313	265
832	1314	263
833	1316	261
834	1317	260
835	1318	258
836	1320	257
837	1321	255
838	1323	253
839	1324	252
840	1326	250
841	1327	249
842	1328	247
843	1330	245
844	1331	244
845	1333	242
846	1334	241
847	1336	239
848	1338	238
849	1339	236
850	1341	234
851	1343	233
852	1345	231
853	1346	230
854	1348	228
855	1349	227
856	1351	225
857	1353	223
858	1354	222
859	1356	220
860	1357	219
861	1358	217
862	1360	215
863	1361	214
864	1363	212
865	1366	211
866	1367	209
867	1369	208
868	1370	206
869	1372	205
870	1373	203
871	1375	201
872	1377	200
873	1379	198
874	1381	197
875	1383	195
876	1390	194
877	1393	193
878	1396	192
879	1398	190
880	1399	189
881	1401	187
882	1402	185
883	1404	184
884	1405	182
885	1408	181
886	1409	179
887	1411	177
888	1412	176
889	1413	174
890	1415	173
891	1416	171
892	1418	169
893	1419	168
894	1421	166
895	1423	165
896	1425	163
897	1426	162
898	1428	160
899	1429	158
900	1431	157
901	1432	155
902	1433	154
903	1435	152
904	1437	150
905	1438	149
906	1440	147
907	1441	146
908	1443	144
909	1444	142
910	1446	141
911	1447	139
912	1449	138
913	1451	136
914	1453	135
915	1454	133
916	1456	131
917	1457	130
918	1458	128
919	1460	126
920	1461	125
921	1462	123
922	1464	122
923	1465	120
924	1467	118
925	1469	117
926	1470	115
927	1471	114
928	1473	112
929	1474	111
930	1476	109
931	1478	107
932	1480	106
933	1482	104
934	1483	103
935	1484	101
936	1486	99
937	1487	98
938	1488	96
939	1490	95
940	1491	93
941	1492	91
942	1494	90
943	1495	88
944	1497	87
945	1498	85
946	1500	83
947	1501	82
948	1502	80
949	1503	79
950	1505	77
951	1506	75
952	1508	74
953	1509	72
954	1511	71
955	1512	69
956	1514	68
957	1515	66
958	1516	64
959	1518	63
960	1519	61
961	1520	60
962	1522	58
963	1524	56
964	1525	55
965	1527	53
966	1528	52
967	1530	50
968	1531	49
969	1533	47
970	1534	45
971	1535	44
972	1537	42
973	1539	41
974	1540	39
975	1541	37
976	1542	36
977	1544	34
978	1545	33
979	1546	31
980	1548	29
981	1549	28
982	1550	26
983	1552	25
984	1553	23
985	1555	22
986	1556	20
987	1557	18
988	1559	17
989	1560	15
990	1561	14
991	1563	12
992	1564	11
993	1566	9
994	1567	7
995	1569	6
996	1570	4
997	1572	3
998	1573	1
999	1574	0
